camera,saved_frame_name,original_video_frame_index,timestamp_seconds
cam7,frame_000158.jpg,158,15.8
cam7,frame_000159.jpg,159,15.9
cam7,frame_000160.jpg,160,16.0
cam7,frame_000161.jpg,161,16.1
cam7,frame_000162.jpg,162,16.2
cam7,frame_000163.jpg,163,16.3
cam7,frame_000164.jpg,164,16.4
cam7,frame_000165.jpg,165,16.5
cam7,frame_000166.jpg,166,16.6
cam7,frame_000167.jpg,167,16.7
cam7,frame_000168.jpg,168,16.8
cam7,frame_000169.jpg,169,16.9
cam7,frame_000170.jpg,170,17.0
cam7,frame_000171.jpg,171,17.1
cam7,frame_000172.jpg,172,17.2
cam7,frame_000173.jpg,173,17.3
cam7,frame_000174.jpg,174,17.4
cam7,frame_000175.jpg,175,17.5
cam7,frame_000176.jpg,176,17.6
cam7,frame_000177.jpg,177,17.7
cam7,frame_000178.jpg,178,17.8
cam7,frame_000179.jpg,179,17.9
cam7,frame_000180.jpg,180,18.0
cam7,frame_000181.jpg,181,18.1
cam7,frame_000182.jpg,182,18.2
cam7,frame_000183.jpg,183,18.3
cam7,frame_000184.jpg,184,18.4
cam7,frame_000185.jpg,185,18.5
cam7,frame_000186.jpg,186,18.6
cam7,frame_000187.jpg,187,18.7
cam7,frame_000188.jpg,188,18.8
cam7,frame_000189.jpg,189,18.9
cam7,frame_000190.jpg,190,19.0
cam7,frame_000191.jpg,191,19.1
cam7,frame_000192.jpg,192,19.2
cam7,frame_000193.jpg,193,19.3
cam7,frame_000194.jpg,194,19.4
cam7,frame_000195.jpg,195,19.5
cam7,frame_000196.jpg,196,19.6
cam7,frame_000197.jpg,197,19.7
cam7,frame_000198.jpg,198,19.8
cam7,frame_000199.jpg,199,19.9
cam7,frame_000200.jpg,200,20.0
cam7,frame_000201.jpg,201,20.1
cam7,frame_000202.jpg,202,20.2
cam7,frame_000203.jpg,203,20.3
cam7,frame_000204.jpg,204,20.4
cam7,frame_000205.jpg,205,20.5
cam7,frame_000206.jpg,206,20.6
cam7,frame_000207.jpg,207,20.7
cam7,frame_000208.jpg,208,20.8
cam7,frame_000209.jpg,209,20.9
cam7,frame_000210.jpg,210,21.0
cam7,frame_000211.jpg,211,21.1
cam7,frame_000212.jpg,212,21.2
cam7,frame_000213.jpg,213,21.3
cam7,frame_000214.jpg,214,21.4
cam7,frame_000215.jpg,215,21.5
cam7,frame_000216.jpg,216,21.6
cam7,frame_000217.jpg,217,21.7
cam7,frame_000218.jpg,218,21.8
cam7,frame_000219.jpg,219,21.9
cam7,frame_000220.jpg,220,22.0
cam7,frame_000221.jpg,221,22.1
cam7,frame_000222.jpg,222,22.2
cam7,frame_000223.jpg,223,22.3
cam7,frame_000224.jpg,224,22.4
cam7,frame_000225.jpg,225,22.5
cam7,frame_000226.jpg,226,22.6
cam7,frame_000227.jpg,227,22.7
cam7,frame_000228.jpg,228,22.8
cam7,frame_000229.jpg,229,22.9
cam7,frame_000230.jpg,230,23.0
cam7,frame_000231.jpg,231,23.1
cam7,frame_000232.jpg,232,23.2
cam7,frame_000233.jpg,233,23.3
cam7,frame_000234.jpg,234,23.4
cam7,frame_000235.jpg,235,23.5
cam7,frame_000236.jpg,236,23.6
cam7,frame_000237.jpg,237,23.7
cam7,frame_000238.jpg,238,23.8
cam7,frame_000239.jpg,239,23.9
cam7,frame_000240.jpg,240,24.0
cam7,frame_000241.jpg,241,24.1
cam7,frame_000242.jpg,242,24.2
cam7,frame_000243.jpg,243,24.3
cam7,frame_000244.jpg,244,24.4
cam7,frame_000245.jpg,245,24.5
cam7,frame_000246.jpg,246,24.6
cam7,frame_000247.jpg,247,24.7
cam7,frame_000248.jpg,248,24.8
cam7,frame_000249.jpg,249,24.9
cam7,frame_000250.jpg,250,25.0
cam7,frame_000251.jpg,251,25.1
cam7,frame_000252.jpg,252,25.2
cam7,frame_000253.jpg,253,25.3
cam7,frame_000254.jpg,254,25.4
cam7,frame_000255.jpg,255,25.5
cam7,frame_000256.jpg,256,25.6
cam7,frame_000257.jpg,257,25.7
cam7,frame_000258.jpg,258,25.8
cam7,frame_000259.jpg,259,25.9
cam7,frame_000260.jpg,260,26.0
cam7,frame_000261.jpg,261,26.1
cam7,frame_000262.jpg,262,26.2
cam7,frame_000263.jpg,263,26.3
cam7,frame_000264.jpg,264,26.4
cam7,frame_000265.jpg,265,26.5
cam7,frame_000266.jpg,266,26.6
cam7,frame_000267.jpg,267,26.7
cam7,frame_000268.jpg,268,26.8
cam7,frame_000269.jpg,269,26.9
cam7,frame_000270.jpg,270,27.0
cam7,frame_000271.jpg,271,27.1
cam7,frame_000272.jpg,272,27.2
cam7,frame_000273.jpg,273,27.3
cam7,frame_000274.jpg,274,27.4
cam7,frame_000275.jpg,275,27.5
cam7,frame_000276.jpg,276,27.6
cam7,frame_000277.jpg,277,27.7
cam7,frame_000278.jpg,278,27.8
cam7,frame_000279.jpg,279,27.9
cam7,frame_000280.jpg,280,28.0
cam7,frame_000281.jpg,281,28.1
cam7,frame_000282.jpg,282,28.2
cam7,frame_000283.jpg,283,28.3
cam7,frame_000284.jpg,284,28.4
cam7,frame_000285.jpg,285,28.5
cam7,frame_000286.jpg,286,28.6
cam7,frame_000287.jpg,287,28.7
cam7,frame_000288.jpg,288,28.8
cam7,frame_000289.jpg,289,28.9
cam7,frame_000290.jpg,290,29.0
cam7,frame_000291.jpg,291,29.1
cam7,frame_000292.jpg,292,29.2
cam7,frame_000293.jpg,293,29.3
cam7,frame_000294.jpg,294,29.4
cam7,frame_000295.jpg,295,29.5
cam7,frame_000296.jpg,296,29.6
cam7,frame_000297.jpg,297,29.7
cam7,frame_000298.jpg,298,29.8
cam7,frame_000299.jpg,299,29.9
cam7,frame_000300.jpg,300,30.0
cam7,frame_000301.jpg,301,30.1
cam7,frame_000302.jpg,302,30.2
cam7,frame_000303.jpg,303,30.3
cam7,frame_000304.jpg,304,30.4
cam7,frame_000305.jpg,305,30.5
cam7,frame_000306.jpg,306,30.6
cam7,frame_000307.jpg,307,30.7
cam7,frame_000308.jpg,308,30.8
cam7,frame_000309.jpg,309,30.9
cam7,frame_000310.jpg,310,31.0
cam7,frame_000311.jpg,311,31.1
cam7,frame_000312.jpg,312,31.2
cam7,frame_000313.jpg,313,31.3
cam7,frame_000314.jpg,314,31.4
cam7,frame_000315.jpg,315,31.5
cam7,frame_000316.jpg,316,31.6
cam7,frame_000317.jpg,317,31.7
cam7,frame_000318.jpg,318,31.8
cam7,frame_000319.jpg,319,31.9
cam7,frame_000320.jpg,320,32.0
cam7,frame_000321.jpg,321,32.1
cam7,frame_000322.jpg,322,32.2
cam7,frame_000323.jpg,323,32.3
cam7,frame_000324.jpg,324,32.4
cam7,frame_000325.jpg,325,32.5
cam7,frame_000326.jpg,326,32.6
cam7,frame_000327.jpg,327,32.7
cam7,frame_000328.jpg,328,32.8
cam7,frame_000329.jpg,329,32.9
cam7,frame_000330.jpg,330,33.0
cam7,frame_000331.jpg,331,33.1
cam7,frame_000332.jpg,332,33.2
cam7,frame_000333.jpg,333,33.3
cam7,frame_000334.jpg,334,33.4
cam7,frame_000335.jpg,335,33.5
cam7,frame_000336.jpg,336,33.6
cam7,frame_000337.jpg,337,33.7
cam7,frame_000338.jpg,338,33.8
cam7,frame_000339.jpg,339,33.9
cam7,frame_000340.jpg,340,34.0
cam7,frame_000341.jpg,341,34.1
cam7,frame_000342.jpg,342,34.2
cam7,frame_000343.jpg,343,34.3
cam7,frame_000344.jpg,344,34.4
cam7,frame_000345.jpg,345,34.5
cam7,frame_000346.jpg,346,34.6
cam7,frame_000347.jpg,347,34.7
cam7,frame_000348.jpg,348,34.8
cam7,frame_000349.jpg,349,34.9
cam7,frame_000350.jpg,350,35.0
cam7,frame_000351.jpg,351,35.1
cam7,frame_000352.jpg,352,35.2
cam7,frame_000353.jpg,353,35.3
cam7,frame_000354.jpg,354,35.4
cam7,frame_000355.jpg,355,35.5
cam7,frame_000356.jpg,356,35.6
cam7,frame_000357.jpg,357,35.7
cam7,frame_000358.jpg,358,35.8
cam7,frame_000359.jpg,359,35.9
cam7,frame_000360.jpg,360,36.0
cam7,frame_000361.jpg,361,36.1
cam7,frame_000362.jpg,362,36.2
cam7,frame_000363.jpg,363,36.3
cam7,frame_000364.jpg,364,36.4
cam7,frame_000365.jpg,365,36.5
cam7,frame_000366.jpg,366,36.6
cam7,frame_000367.jpg,367,36.7
cam7,frame_000368.jpg,368,36.8
cam7,frame_000369.jpg,369,36.9
cam7,frame_000370.jpg,370,37.0
cam7,frame_000371.jpg,371,37.1
cam7,frame_000372.jpg,372,37.2
cam7,frame_000373.jpg,373,37.3
cam7,frame_000374.jpg,374,37.4
cam7,frame_000375.jpg,375,37.5
cam7,frame_000376.jpg,376,37.6
cam7,frame_000377.jpg,377,37.7
cam7,frame_000378.jpg,378,37.8
cam7,frame_000379.jpg,379,37.9
cam7,frame_000380.jpg,380,38.0
cam7,frame_000381.jpg,381,38.1
cam7,frame_000382.jpg,382,38.2
cam7,frame_000383.jpg,383,38.3
cam7,frame_000384.jpg,384,38.4
cam7,frame_000385.jpg,385,38.5
cam7,frame_000386.jpg,386,38.6
cam7,frame_000387.jpg,387,38.7
cam7,frame_000388.jpg,388,38.8
cam7,frame_000389.jpg,389,38.9
cam7,frame_000390.jpg,390,39.0
cam7,frame_000391.jpg,391,39.1
cam7,frame_000392.jpg,392,39.2
cam7,frame_000393.jpg,393,39.3
cam7,frame_000394.jpg,394,39.4
cam7,frame_000395.jpg,395,39.5
cam7,frame_000396.jpg,396,39.6
cam7,frame_000397.jpg,397,39.7
cam7,frame_000398.jpg,398,39.8
cam7,frame_000399.jpg,399,39.9
cam7,frame_000400.jpg,400,40.0
cam7,frame_000401.jpg,401,40.1
cam7,frame_000402.jpg,402,40.2
cam7,frame_000403.jpg,403,40.3
cam7,frame_000404.jpg,404,40.4
cam7,frame_000405.jpg,405,40.5
cam7,frame_000406.jpg,406,40.6
cam7,frame_000407.jpg,407,40.7
cam7,frame_000408.jpg,408,40.8
cam7,frame_000409.jpg,409,40.9
cam7,frame_000410.jpg,410,41.0
cam7,frame_000411.jpg,411,41.1
cam7,frame_000412.jpg,412,41.2
cam7,frame_000413.jpg,413,41.3
cam7,frame_000414.jpg,414,41.4
cam7,frame_000415.jpg,415,41.5
cam7,frame_000416.jpg,416,41.6
cam7,frame_000417.jpg,417,41.7
cam7,frame_000418.jpg,418,41.8
cam7,frame_000419.jpg,419,41.9
cam7,frame_000420.jpg,420,42.0
cam7,frame_000421.jpg,421,42.1
cam7,frame_000422.jpg,422,42.2
cam7,frame_000423.jpg,423,42.3
cam7,frame_000424.jpg,424,42.4
cam7,frame_000425.jpg,425,42.5
cam7,frame_000426.jpg,426,42.6
cam7,frame_000427.jpg,427,42.7
cam7,frame_000428.jpg,428,42.8
cam7,frame_000429.jpg,429,42.9
cam7,frame_000430.jpg,430,43.0
cam7,frame_000431.jpg,431,43.1
cam7,frame_000432.jpg,432,43.2
cam7,frame_000433.jpg,433,43.3
cam7,frame_000434.jpg,434,43.4
cam7,frame_000435.jpg,435,43.5
cam7,frame_000436.jpg,436,43.6
cam7,frame_000437.jpg,437,43.7
cam7,frame_000438.jpg,438,43.8
cam7,frame_000439.jpg,439,43.9
cam7,frame_000440.jpg,440,44.0
cam7,frame_000441.jpg,441,44.1
cam7,frame_000442.jpg,442,44.2
cam7,frame_000443.jpg,443,44.3
cam7,frame_000444.jpg,444,44.4
